"4e1b0618-98d1-40a8-bfd1-84ca58170642"
"question","question_id: answer","count"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: GMT
","3"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: EDT
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: gmt
","2"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: PST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: MST
","2"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: 
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: Cst
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: 
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: BRT
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: IST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: MDT
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: EST
","7"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: ist
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: GMT
","4"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: MST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: GMT
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: EST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: EST
","10"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: EST
","2"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: CST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: CST
","2"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: CST
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: utc
","1"
"4e1b0618-98d1-40a8-bfd1-84ca58170642","f72d4ec2-0024-4972-a53a-4e08a07ed4fd: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
64c2fdf8-cefb-4ca2-8c9d-2d7cb2febc1e: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
62de98fb-41ae-4e4f-8d0f-e2ab9eb015b7: PST
","3"
