"c28aed7c-703e-4018-b61f-1cb8f016d7b5"
"question","question_id: answer","count"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: gmt
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: PST
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: MST
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: EST
","7"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: GMT
","2"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: CST
","2"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: UTC
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: PST
","2"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: Ist
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the right-hand case, the self-driving car with sudden brake failure will swerve and crash into a concrete barrier. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the right-hand case, the self-driving car with sudden brake failure will swerve and drive through a pedestrian crossing. This will result in ...
Dead:
2 homeless people
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: CEN
","1"
"c28aed7c-703e-4018-b61f-1cb8f016d7b5","c3ca457c-aa08-48d5-8460-46a40bc7836f: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
2 women
1 boy
)
a199cf79-ca81-4028-98dc-726b124d3bad: (In the left-hand case, the self-driving car with sudden brake failure will continue ahead and drive through a pedestrian crossing. This will result in ...
Dead:
1 male executive
1 female executive
)
e1c4af39-71a1-4a3f-8054-4d9670eee20d: IST
","1"
